tree_id,point_count,crown_x,crown_y,height_max_m,height_mean_m,height_std_m,height_p25_m,height_p50_m,height_p75_m,height_p90_m,height_p95_m,cv_height,crown_radius_m,crown_r95_m,crown_area_m2,canopy_pts,density_pt_m2,tile,tile_tree_id
84,1695,188841.2201,480001.3841,18.959,10.185,4.067,6.88,10.707,13.606,15.83,16.743,0.3993,3.576,7.096,158.193,206,10.7148,1,84
85,7401,188496.5672,479992.5587,16.047,9.918,3.097,7.784,10.294,12.319,13.818,14.499,0.3123,10.608,18.562,1082.396,1471,6.8376,1,85
86,1390,188417.9546,480002.6763,14.731,10.206,3.148,7.57,11.42,12.752,13.452,13.919,0.3085,3.275,6.383,128.006,618,10.8589,1,86
87,2467,188632.3818,479999.0278,19.603,13.427,4.26,10.76,14.186,17.086,18.008,18.502,0.3173,4.494,7.65,183.862,997,13.4177,1,87
88,1024,188972.9439,480001.6224,21.446,14.072,5.708,10.815,16.78,18.144,19.213,19.95,0.4057,3.118,6.092,116.606,442,8.7817,1,88
89,1264,189012.5534,480002.6946,20.542,14.141,3.564,12.226,15.038,16.325,18.442,19.719,0.252,3.394,5.444,93.118,303,13.5741,1,89
90,2151,188475.2067,479998.7637,17.33,11.747,3.631,9.745,12.624,14.486,15.94,16.285,0.3091,4.184,7.019,154.769,676,13.8981,1,90
91,1266,188591.1285,480000.656,19.302,15.049,4.013,12.513,17.106,18.029,18.603,18.858,0.2667,2.514,4.932,76.408,791,16.569,1,91
92,1906,188161.7524,479999.5574,14.396,10.355,1.679,9.422,10.234,11.397,12.569,13.062,0.1621,4.131,7.202,162.969,432,11.6955,1,92
93,1146,188452.035,479999.8559,15.812,9.686,4.078,5.348,10.35,13.356,14.774,15.172,0.421,2.73,5.174,84.104,409,13.6259,1,93
94,2064,188710.3498,480000.8801,19.524,14.496,3.533,13.298,15.255,17.068,17.99,18.521,0.2437,4.068,6.778,144.328,939,14.3007,1,94
95,964,188937.963,479998.5128,24.954,13.876,7.729,5.754,16.742,21.026,22.666,23.83,0.557,2.584,4.349,59.413,302,16.2255,1,95
96,3299,188188.2064,480000.7856,23.749,14.743,5.761,11.074,13.899,20.029,22.209,23.202,0.3907,4.373,7.692,185.897,1067,17.7464,1,96
97,2171,188236.0884,479999.222,16.024,10.56,3.568,7.562,12.019,13.532,14.324,14.776,0.3379,3.601,6.682,140.282,792,15.476,1,97
98,940,188410.4271,479999.249,15.229,10.709,2.834,8.046,11.675,12.992,14.165,14.511,0.2646,2.372,4.143,53.925,395,17.4316,1,98
99,4121,188326.0143,479995.6114,15.267,9.109,3.475,6.309,9.949,11.92,13.414,13.934,0.3815,5.661,9.576,288.06,868,14.3061,1,99
100,3036,188548.7948,479999.5733,19.195,12.346,3.596,10.517,13.338,14.716,16.447,17.128,0.2913,4.914,8.033,202.745,545,14.9744,1,100
101,1377,188562.647,479997.5374,17.589,12.474,4.29,10.307,14.216,15.611,16.26,16.533,0.3439,3.121,5.6,98.508,715,13.9786,1,101
102,4072,188617.9239,479996.9267,22.076,14.458,4.496,11.11,15.812,17.944,19.462,20.364,0.311,5.616,9.972,312.382,1136,13.0353,1,102
103,1602,188726.2705,479998.4241,18.399,11.053,4.475,7.024,11.664,15.022,16.606,17.247,0.4049,3.633,6.483,132.044,427,12.1324,1,103
104,2983,188179.6945,479997.5162,25.091,14.926,5.952,10.962,13.479,20.533,23.246,24.178,0.3988,4.171,7.624,182.587,800,16.3375,1,104
105,5123,188306.7219,479998.3221,18.891,11.132,4.336,7.371,11.598,15.025,16.17,16.76,0.3895,6.927,11.745,433.397,1233,11.8206,1,105
106,2042,188668.5719,479997.8508,19.032,11.88,4.327,8.704,11.686,15.774,17.286,17.943,0.3642,4.733,8.095,205.841,619,9.9203,1,106
107,3339,188858.0541,479997.3499,17.518,8.818,3.872,5.557,8.684,11.954,13.885,14.928,0.4391,5.305,9.59,288.955,289,11.5554,1,107
108,1036,188921.4682,479997.1387,21.78,15.219,4.126,12.979,15.871,18.346,19.916,20.385,0.2711,3.427,7.263,165.711,327,6.2518,1,108
109,3046,187985.8941,479998.2944,26.533,18.67,5.83,16.508,20.362,22.826,24.462,25.154,0.3123,5.012,10.132,322.484,1182,9.4454,1,109
110,1317,188423.4957,479994.9546,16.796,10.718,3.061,9.061,11.396,12.943,13.78,14.256,0.2856,3.284,5.372,90.666,220,14.5258,1,110
111,1260,188539.5528,479995.1387,16.726,12.0,3.382,11.033,13.233,14.424,15.074,15.522,0.2818,3.706,6.663,139.493,583,9.0327,1,111
112,1273,188571.5466,479996.1525,18.534,12.883,4.281,9.689,13.908,16.551,17.671,17.878,0.3323,2.731,4.989,78.206,507,16.2774,1,112
113,3104,188997.1504,479994.9442,21.622,14.715,3.706,13.148,15.184,17.017,19.113,19.59,0.2519,5.369,9.322,273.001,716,11.3699,1,113
114,2565,188531.781,479994.165,18.792,10.923,4.68,7.261,11.523,15.081,16.886,17.56,0.4285,4.452,7.617,182.253,651,14.0738,1,114
115,6185,188380.5591,479997.3038,16.208,11.082,2.932,9.589,11.692,13.363,14.351,14.735,0.2645,7.1,12.178,465.872,1888,13.2762,1,115
116,2113,188699.5491,479995.6474,18.278,13.051,4.151,11.231,14.383,16.269,17.101,17.436,0.3181,3.787,6.318,125.393,998,16.8511,1,116
